cust_id,similar_customers
C0001,"[('C0190', 0.9682154512951261), ('C0048', 0.941072081124915), ('C0181', 0.9090457490236507)]"
C0002,"[('C0088', 0.9663574397998078), ('C0134', 0.9417092227435143), ('C0106', 0.897417999902512)]"
C0003,"[('C0052', 0.9847977904024423), ('C0152', 0.9262643125643458), ('C0031', 0.8908812314103668)]"
C0004,"[('C0165', 0.9711437718179058), ('C0155', 0.9620829055324883), ('C0169', 0.8873437226586512)]"
C0005,"[('C0186', 0.9787905419345102), ('C0146', 0.9598508342465528), ('C0007', 0.9047531872453539)]"
C0006,"[('C0168', 0.9732537429499296), ('C0171', 0.9513382554181677), ('C0187', 0.9447449444739173)]"
C0007,"[('C0140', 0.9764156563035169), ('C0115', 0.9342226712579291), ('C0005', 0.9047531872453539)]"
C0008,"[('C0109', 0.8700104206236067), ('C0139', 0.8117685282119974), ('C0098', 0.7892991816476465)]"
C0009,"[('C0010', 0.9760669630706748), ('C0198', 0.9520351377564203), ('C0062', 0.9308169602315751)]"
C0010,"[('C0009', 0.9760669630706748), ('C0111', 0.9708504756032534), ('C0103', 0.9552968720724648)]"
C0011,"[('C0137', 0.9611944701177748), ('C0169', 0.9203951647051838), ('C0126', 0.9178664272707293)]"
C0012,"[('C0104', 0.9659896786844346), ('C0113', 0.926666631328166), ('C0195', 0.907840343168503)]"
C0013,"[('C0099', 0.9855644363688846), ('C0108', 0.9198465159324428), ('C0141', 0.8387719059266355)]"
C0014,"[('C0060', 0.9763044912298496), ('C0151', 0.9084845085220971), ('C0097', 0.9035777546704962)]"
C0015,"[('C0036', 0.9803651270659389), ('C0131', 0.9746260478193932), ('C0058', 0.8355728389274786)]"
C0016,"[('C0183', 0.9998750016492791), ('C0067', 0.9168655516177493), ('C0042', 0.7522632809302456)]"
C0017,"[('C0075', 0.9694478848397573), ('C0081', 0.8567347350005199), ('C0057', 0.8453541123524987)]"
C0018,"[('C0117', 0.947351865308591), ('C0185', 0.8362687678528234), ('C0046', 0.8257522302304171)]"
C0019,"[('C0121', 0.902523629526074), ('C0081', 0.8313225825219901), ('C0119', 0.780886877074617)]"
C0020,"[('C0050', 0.8471955082476953), ('C0140', 0.8359805626087087), ('C0130', 0.7625116428321821)]"
C0021,"[('C0101', 0.9991419612548103), ('C0173', 0.9929543456366224), ('C0175', 0.9738566520776306)]"
C0022,"[('C0143', 0.9352653752094695), ('C0145', 0.8963627488255572), ('C0200', 0.8931688541044901)]"
C0023,"[('C0041', 0.9686718526454208), ('C0057', 0.9620610449787509), ('C0064', 0.9134693132468126)]"
C0024,"[('C0194', 0.9942925880026815), ('C0139', 0.9827463254493488), ('C0047', 0.9578620864700225)]"
C0025,"[('C0031', 0.9826647909554278), ('C0076', 0.960173377397467), ('C0151', 0.9217656623161232)]"
C0026,"[('C0050', 0.9535080213256791), ('C0035', 0.7618275840443819), ('C0020', 0.7365606322909349)]"
C0027,"[('C0177', 0.9992726588941075), ('C0142', 0.9763773438913356), ('C0193', 0.9426540111083521)]"
C0028,"[('C0045', 0.9861209366252677), ('C0054', 0.978916553240276), ('C0188', 0.8748607462961286)]"
C0029,"[('C0030', 0.9508524189952168), ('C0033', 0.9073089383650227), ('C0058', 0.8964034153942112)]"
C0030,"[('C0029', 0.9508524189952168), ('C0034', 0.9482319069092072), ('C0049', 0.7985939496411948)]"
C0031,"[('C0025', 0.9826647909554278), ('C0076', 0.9616407487098965), ('C0052', 0.9562408372472041)]"
C0032,"[('C0071', 0.9538852332875642), ('C0083', 0.8901586660347537), ('C0077', 0.8798303350328851)]"
C0033,"[('C0058', 0.9644412295507905), ('C0029', 0.9073089383650227), ('C0083', 0.8906553975016168)]"
C0034,"[('C0030', 0.9482319069092072), ('C0098', 0.915640013967742), ('C0049', 0.8969503265374948)]"
C0035,"[('C0072', 0.9380057580379497), ('C0055', 0.931877763852065), ('C0157', 0.7941672501638747)]"
C0036,"[('C0131', 0.9987376239348197), ('C0015', 0.9803651270659389), ('C0125', 0.8869665729265175)]"
C0037,"[('C0170', 0.9576501660453222), ('C0182', 0.952860068329491), ('C0100', 0.9410410287773388)]"
C0038,"[('C0189', 0.9995733351713185), ('C0160', 0.9908010904462333), ('C0157', 0.6446491219009705)]"
C0039,"[('C0048', 0.929609301997106), ('C0001', 0.8973658246569505), ('C0181', 0.8711371075964527)]"
C0040,"[('C0200', 0.8438977384837257), ('C0115', 0.8093689699209822), ('C0066', 0.7870184811594353)]"
C0041,"[('C0023', 0.9686718526454208), ('C0057', 0.9098611219865654), ('C0075', 0.8636972166628617)]"
C0042,"[('C0176', 0.9983241434053245), ('C0144', 0.9121180368934811), ('C0183', 0.7550412889599553)]"
C0043,"[('C0142', 0.9327341726706181), ('C0097', 0.862939644255053), ('C0177', 0.8622661002827157)]"
C0044,"[('C0074', 0.9956498114344696), ('C0135', 0.8515846503257718), ('C0070', 0.84816294052508)]"
C0045,"[('C0028', 0.9861209366252677), ('C0054', 0.9695282703715946), ('C0188', 0.8368753272258291)]"
C0046,"[('C0122', 0.9800440525170812), ('C0156', 0.8879771300525854), ('C0018', 0.8257522302304171)]"
C0047,"[('C0116', 0.9750201428572065), ('C0024', 0.9578620864700225), ('C0139', 0.9497917201581433)]"
C0048,"[('C0001', 0.941072081124915), ('C0039', 0.929609301997106), ('C0190', 0.8265692244174058)]"
C0049,"[('C0098', 0.9758293156875518), ('C0034', 0.8969503265374948), ('C0030', 0.7985939496411948)]"
C0050,"[('C0026', 0.9535080213256791), ('C0020', 0.8471955082476953), ('C0185', 0.8076250633687616)]"
C0051,"[('C0105', 0.963017034162674), ('C0188', 0.8165301890084996), ('C0028', 0.8137599029604914)]"
